edad,Rel general mujer qx base 2019 en tanto por mil,Rel general hombre qx base 2019 en tanto por mil,NoRel general mujer qx base 2019 en tanto por mil,NoRel general hombre qx base 2019 en tanto por mil,decesos mujer qx base 2019 en tanto por mil,decesos hombre qx base 2019 en tanto por mil
107,848.5047718695700000,856.7691022072430000,889.4139639336160000,898.0767446846200000,942.1507360507210000,944.5688538150790000
108,959.2277609474270000,966.1371629259110000,1000.0000000000000000,1000.0000000000000000,1000.0000000000000000,1000.0000000000000000
109,1000.0000000000000000,1000.0000000000000000,1000.0000000000000000,1000.0000000000000000,1000.0000000000000000,1000.0000000000000000
110,1000.0000000000000000,1000.0000000000000000,1000.0000000000000000,1000.0000000000000000,1000.0000000000000000,1000.0000000000000000
111,1000.0000000000000000,1000.0000000000000000,1000.0000000000000000,1000.0000000000000000,1000.0000000000000000,1000.0000000000000000
112,1000.0000000000000000,1000.0000000000000000,1000.0000000000000000,1000.0000000000000000,1000.0000000000000000,1000.0000000000000000
113,1000.0000000000000000,1000.0000000000000000,1000.0000000000000000,1000.0000000000000000,1000.0000000000000000,1000.0000000000000000
114,1000.0000000000000000,1000.0000000000000000,1000.0000000000000000,1000.0000000000000000,1000.0000000000000000,1000.0000000000000000
115,1000.0000000000000000,1000.0000000000000000,1000.0000000000000000,1000.0000000000000000,1000.0000000000000000,1000.0000000000000000
116,1000.0000000000000000,1000.0000000000000000,1000.0000000000000000,1000.0000000000000000,1000.0000000000000000,1000.0000000000000000
117,1000.0000000000000000,1000.0000000000000000,1000.0000000000000000,1000.0000000000000000,1000.0000000000000000,1000.0000000000000000
118,1000.0000000000000000,1000.0000000000000000,1000.0000000000000000,1000.0000000000000000,1000.0000000000000000,1000.0000000000000000
119,1000.0000000000000000,1000.0000000000000000,1000.0000000000000000,1000.0000000000000000,1000.0000000000000000,1000.0000000000000000
120,1000.0000000000000000,1000.0000000000000000,1000.0000000000000000,1000.0000000000000000,1000.0000000000000000,1000.0000000000000000
